time,YJ-3A-DSG-05,YJ-3A-DSG-01,YJ-3A-DSG-06,YJ-3A-DSG-04,YJ-3A-DSG-03,YJ-3A-DSG-02
2014-01-22 1:34,1689.656494,-698.4234619,503.0069885,-265.9593201,459.4561768,1704.418945
2014-01-22 1:34,1689.656494,-698.3868408,503.0110474,-265.9797668,459.3625183,1704.386475
2014-01-22 1:34,1689.652344,-698.4356689,503.0722046,-265.9920044,459.3462219,1704.431152
2014-01-22 1:34,1689.782227,-698.3094482,503.1047668,-266.0083618,459.3625183,1704.370117
2014-01-22 1:34,1689.798584,-698.223938,503.0762329,-266.0574646,459.4073181,1704.431152
2014-01-22 1:34,1689.717285,-698.2890625,503.0559082,-265.8652649,459.5376282,1704.365967
2014-01-22 1:34,1689.640137,-698.3868408,503.1088257,-265.9102478,459.3462219,1704.386475
2014-01-22 1:34,1689.640137,-698.2890625,503.0559082,-266.0247192,459.1833496,1704.467896
2014-01-22 1:34,1689.77002,-698.3053589,503.1251221,-266.0083618,459.411377,1704.333496
2014-01-22 1:34,1689.749878,-698.3379517,503.1047668,-265.9429626,459.411377,1704.284668
2014-01-22 1:34,1689.700928,-698.3583374,503.1047668,-266.0083618,459.4561768,1704.288574
2014-01-22 1:34,1689.688843,-698.4356689,503.1577454,-266.045166,459.4561768,1704.418945
2014-01-22 1:34,1689.765991,-698.5212402,503.1047668,-265.9961243,459.4724731,1704.44751
2014-01-22 1:34,1689.765991,-698.3868408,503.0762329,-265.9593201,459.358429,1704.337524
2014-01-22 1:34,1689.80249,-698.2890625,503.1862488,-265.9593201,459.4561768,1704.435303
2014-01-22 1:34,1689.782227,-698.3909302,503.1251221,-265.9306946,459.3299561,1704.463867
2014-01-22 1:34,1689.753784,-698.3094482,503.1047668,-265.9102478,459.3258667,1704.418945
2014-01-22 1:34,1689.782227,-698.3868408,503.0925293,-265.9102478,459.4073181,1704.398682
2014-01-22 1:34,1689.717285,-698.3053589,503.1251221,-265.9429626,459.3625183,1704.337524
2014-01-22 1:34,1689.733521,-698.2890625,503.1740417,-266.0083618,459.3299561,1704.333496
2014-01-22 1:34,1689.652344,-698.3583374,503.1903381,-265.9306946,459.3421631,1704.435303
2014-01-22 1:34,1689.591431,-698.3379517,503.1251221,-265.9102478,459.3747253,1704.516724
2014-01-22 1:34,1689.607544,-698.2890625,503.1251221,-265.947052,459.3788147,1704.44751
2014-01-22 1:34,1689.765991,-698.3909302,503.0722046,-266.0574646,459.3788147,1704.382324
2014-01-22 1:34,1689.782227,-698.2890625,503.1251221,-266.0288086,459.4928284,1704.365967
2014-01-22 1:34,1689.737671,-698.3216553,503.1862488,-266.0083618,459.5701904,1704.415039
2014-01-22 1:34,1689.656494,-698.4030762,503.2677307,-265.9920044,459.4073181,1704.496338
2014-01-22 1:34,1689.831055,-698.354248,503.1373596,-265.9797668,459.3625183,1704.500488
2014-01-22 1:34,1689.786377,-698.3216553,503.0762329,-265.9266052,459.4602661,1704.533081
2014-01-22 1:34,1689.798584,-698.2768555,503.1210632,-265.9143372,459.5742798,1704.516724
2014-01-22 1:34,1689.749878,-698.4519653,503.153656,-265.9143372,459.4887695,1704.415039
2014-01-22 1:34,1689.737671,-698.3909302,503.1047668,-266.0288086,459.3788147,1704.40271
2014-01-22 1:34,1689.672607,-698.3704834,503.1251221,-266.0779114,459.3747253,1704.415039
2014-01-22 1:34,1689.652344,-698.3379517,503.3858948,-265.947052,459.3299561,1704.398682
2014-01-22 1:34,1689.700928,-698.3094482,503.1862488,-265.9797668,459.4073181,1704.435303
2014-01-22 1:34,1689.640137,-698.4560547,503.1740417,-265.975647,459.4236145,1704.484253
2014-01-22 1:34,1689.672607,-698.354248,503.2351379,-266.0083618,459.3788147,1704.435303
2014-01-22 1:34,1689.623901,-698.3053589,503.2881165,-266.0288086,459.3747253,1704.451538
2014-01-22 1:34,1689.510254,-698.3745728,503.2881165,-265.9920044,459.358429,1704.370117
2014-01-22 1:34,1689.668579,-698.3094482,503.2514343,-265.9306946,459.2485046,1704.435303
2014-01-22 1:34,1689.672607,-698.3094482,503.2025452,-265.9593201,459.3747253,1704.463867
2014-01-22 1:34,1689.717285,-698.3745728,503.153656,-265.9920044,459.411377,1704.431152
2014-01-22 1:34,1689.623901,-698.3868408,503.2555237,-265.8816223,459.4236145,1704.435303
2014-01-22 1:34,1689.591431,-698.3583374,503.300354,-265.8284607,459.4276733,1704.463867
2014-01-22 1:34,1689.656494,-698.3379517,503.2351379,-265.9143372,459.358429,1704.431152
2014-01-22 1:34,1689.640137,-698.3379517,503.2066345,-265.9306946,459.4236145,1704.415039
2014-01-22 1:34,1689.688843,-698.2890625,503.153656,-265.83255,459.4276733,1704.337524
2014-01-22 1:34,1689.603638,-698.3379517,503.2514343,-265.83255,459.4073181,1704.337524
2014-01-22 1:34,1689.640137,-698.4519653,503.2718201,-265.9429626,459.3910217,1704.333496
2014-01-22 1:34,1689.668579,-698.34198,503.2718201,-265.9143372,459.3788147,1704.288574
2014-01-22 1:34,1689.607544,-698.3094482,503.3818359,-265.8652649,459.358429,1704.370117
2014-01-22 1:34,1689.571045,-698.2890625,503.3818359,-265.9143372,459.4276733,1704.386475
2014-01-22 1:34,1689.733521,-698.2727661,503.1740417,-265.975647,459.3299561,1704.463867
2014-01-22 1:34,1689.733521,-698.3216553,503.2066345,-265.9961243,459.4561768,1704.435303
2014-01-22 1:34,1689.7052,-698.4234619,503.2066345,-266.0083618,459.4602661,1704.386475
2014-01-22 1:34,1689.640137,-698.354248,503.3044128,-266.0083618,459.3299561,1704.317139
2014-01-22 1:34,1689.640137,-698.2727661,503.3532715,-265.9634094,459.3258667,1704.398682
2014-01-22 1:34,1689.668579,-698.1750488,503.2881165,-265.9593201,459.4276733,1704.463867
2014-01-22 1:34,1689.640137,-698.4071655,503.3369751,-266.0083618,459.4439697,1704.415039
2014-01-22 1:34,1689.603638,-698.4723511,503.2351379,-265.9961243,459.3788147,1704.451538
2014-01-22 1:34,1689.542725,-698.2401733,503.2555237,-265.9266052,459.4073181,1704.398682
2014-01-22 1:34,1689.640137,-698.3583374,503.2188416,-265.8611755,459.5213318,1704.288574
2014-01-22 1:34,1689.717285,-698.3379517,503.2392273,-265.8611755,459.4602661,1704.44751
2014-01-22 1:34,1689.656494,-698.2565308,503.2514343,-265.7834778,459.476532,1704.415039
2014-01-22 1:34,1689.672607,-698.3053589,503.3369751,-265.8121033,459.4398804,1704.386475
2014-01-22 1:34,1689.765991,-698.3868408,503.2718201,-265.877533,459.3910217,1704.415039
2014-01-22 1:34,1689.717285,-698.4071655,503.300354,-265.9102478,459.3747253,1704.418945
2014-01-22 1:34,1689.77002,-698.5212402,503.3044128,-265.8611755,459.3299561,1704.40271
2014-01-22 1:34,1689.77002,-698.4519653,503.3329468,-265.8284607,459.4073181,1704.480225
2014-01-22 1:34,1689.640137,-698.2442627,503.3655396,-265.8611755,459.3788147,1704.500488
2014-01-22 1:34,1689.575195,-698.3379517,503.3369751,-265.8816223,459.4073181,1704.386475
2014-01-22 1:34,1689.656494,-698.3704834,503.2229309,-265.8652649,459.4276733,1704.435303
2014-01-22 1:34,1689.721313,-698.3216553,503.2229309,-265.877533,459.3095703,1704.44751
2014-01-22 1:34,1689.619751,-698.4194336,503.2514343,-265.8652649,459.4602661,1704.418945
2014-01-22 1:34,1689.668579,-698.4560547,503.1740417,-265.9429626,459.5091248,1704.365967
2014-01-22 1:34,1689.668579,-698.4071655,503.2025452,-265.8979797,459.5376282,1704.435303
2014-01-22 1:34,1689.591431,-698.2727661,503.300354,-265.877533,459.6231384,1704.418945
2014-01-22 1:34,1689.672607,-698.3583374,503.3166504,-265.975647,459.476532,1704.337524
2014-01-22 1:34,1689.786377,-698.4519653,503.3329468,-265.8938904,459.5213318,1704.418945
2014-01-22 1:34,1689.623901,-698.354248,503.3044128,-265.9306946,459.5376282,1704.415039
2014-01-22 1:34,1689.668579,-698.2890625,503.2881165,-265.9797668,459.4276733,1704.317139
2014-01-22 1:34,1689.591431,-698.3868408,503.3532715,-265.9797668,459.3625183,1704.365967
2014-01-22 1:34,1689.684814,-698.4560547,503.4143982,-265.9306946,459.411377,1704.370117
2014-01-22 1:34,1689.542725,-698.4560547,503.2718201,-265.9306946,459.3788147,1704.435303
2014-01-22 1:34,1689.636108,-698.3257446,503.3166504,-265.8161926,459.3951111,1704.480225
2014-01-22 1:34,1689.623901,-698.2930908,503.2840271,-265.83255,459.3910217,1704.370117
2014-01-22 1:34,1689.571045,-698.3053589,503.2514343,-265.8284607,459.4276733,1704.337524
2014-01-22 1:34,1689.672607,-698.3094482,503.1740417,-265.8979797,459.3095703,1704.435303
2014-01-22 1:34,1689.688843,-698.3583374,503.2229309,-265.7957458,459.3258667,1704.418945
2014-01-22 1:34,1689.619751,-698.3094482,503.2392273,-265.7834778,459.3299561,1704.451538
2014-01-22 1:34,1689.554932,-698.3379517,503.2718201,-265.7834778,459.2607117,1704.415039
2014-01-22 1:34,1689.688843,-698.3379517,503.4306946,-265.8938904,459.3788147,1704.317139
2014-01-22 1:34,1689.721313,-698.3379517,503.2881165,-266.0083618,459.4236145,1704.317139
2014-01-22 1:34,1689.7052,-698.3257446,503.2229309,-265.9102478,459.5417175,1704.386475
2014-01-22 1:34,1689.733521,-698.34198,503.3044128,-265.763031,459.4398804,1704.382324
2014-01-22 1:34,1689.668579,-698.3094482,503.2677307,-265.8652649,459.4928284,1704.500488
2014-01-22 1:34,1689.656494,-698.2768555,503.2840271,-265.9102478,459.3136597,1704.418945
2014-01-22 1:34,1689.814697,-698.3583374,503.2555237,-265.8489075,459.3788147,1704.431152
2014-01-22 1:34,1689.798584,-698.3094482,503.2025452,-265.8652649,459.4398804,1704.370117
2014-01-22 1:34,1689.640137,-698.3094482,503.2229309,-265.9102478,459.4561768,1704.365967
2014-01-22 1:34,1689.591431,-698.3583374,503.2229309,-265.9429626,459.4073181,1704.386475
2014-01-22 1:34,1689.753784,-698.4682617,503.2229309,-265.8938904,459.3258667,1704.317139
2014-01-22 1:34,1689.640137,-698.3216553,503.1903381,-265.8611755,459.2810669,1704.365967
2014-01-22 1:34,1689.684814,-698.2075806,503.2677307,-265.7998352,459.3299561,1704.44751
2014-01-22 1:34,1689.672607,-698.4030762,503.2718201,-265.7467041,459.4439697,1704.365967
2014-01-22 1:34,1689.737671,-698.3704834,503.2229309,-265.83255,459.4276733,1704.398682
2014-01-22 1:34,1689.765991,-698.4234619,503.2025452,-265.8816223,459.3910217,1704.398682
2014-01-22 1:34,1689.619751,-698.4030762,503.2514343,-265.9306946,459.3788147,1704.365967
2014-01-22 1:34,1689.700928,-698.3053589,503.2881165,-265.8611755,459.4236145,1704.435303
2014-01-22 1:34,1689.640137,-698.3257446,503.3166504,-265.8816223,459.4276733,1704.321289
2014-01-22 1:34,1689.721313,-698.3094482,503.2677307,-265.8121033,459.2810669,1704.365967
2014-01-22 1:34,1689.765991,-698.223938,503.3166504,-265.8448181,459.4073181,1704.435303
2014-01-22 1:34,1689.737671,-698.3094482,503.2718201,-265.7998352,459.4073181,1704.40271
2014-01-22 1:34,1689.737671,-698.34198,503.2188416,-265.8489075,459.3788147,1704.463867
2014-01-22 1:34,1689.733521,-698.3216553,503.2025452,-265.8816223,459.4236145,1704.431152
2014-01-22 1:34,1689.684814,-698.3216553,503.2677307,-265.8816223,459.3258667,1704.480225
2014-01-22 1:34,1689.684814,-698.3094482,503.2555237,-265.8938904,459.3910217,1704.431152
2014-01-22 1:34,1689.721313,-698.4030762,503.2881165,-265.9593201,459.3299561,1704.431152
2014-01-22 1:34,1689.721313,-698.4356689,503.3166504,-265.9634094,459.3788147,1704.435303
2014-01-22 1:34,1689.700928,-698.4356689,503.2677307,-265.8448181,459.411377,1704.386475
2014-01-22 1:34,1689.737671,-698.4234619,503.3369751,-265.877533,459.4887695,1704.321289
2014-01-22 1:34,1689.733521,-698.4682617,503.3369751,-265.8611755,459.4073181,1704.333496
2014-01-22 1:34,1689.668579,-698.4519653,503.3044128,-265.8448181,459.4073181,1704.40271
2014-01-22 1:34,1689.668579,-698.4234619,503.2514343,-265.7998352,459.2810669,1704.40271
2014-01-22 1:34,1689.749878,-698.3704834,503.4347839,-265.7957458,459.3462219,1704.365967
2014-01-22 1:34,1689.640137,-698.4071655,503.3818359,-265.7834778,459.4887695,1704.431152
2014-01-22 1:34,1689.619751,-698.3216553,503.2514343,-265.9266052,459.4928284,1704.300781
2014-01-22 1:34,1689.619751,-698.2930908,503.1862488,-265.8979797,459.3747253,1704.435303
2014-01-22 1:34,1689.700928,-698.34198,503.2351379,-265.8979797,459.3462219,1704.463867
2014-01-22 1:34,1689.688843,-698.4519653,503.3492432,-265.947052,459.4398804,1704.349854
2014-01-22 1:34,1689.623901,-698.3909302,503.2881165,-265.9266052,459.5091248,1704.386475
2014-01-22 1:34,1689.765991,-698.4071655,503.3044128,-265.9306946,459.3299561,1704.365967
2014-01-22 1:34,1689.656494,-698.354248,503.2188416,-265.83255,459.3095703,1704.35376
2014-01-22 1:34,1689.603638,-698.4071655,503.2229309,-265.7834778,459.3788147,1704.382324
2014-01-22 1:34,1689.603638,-698.5008545,503.3655396,-265.83255,459.3747253,1704.386475
2014-01-22 1:34,1689.656494,-698.4030762,503.2881165,-265.8611755,459.3136597,1704.467896
2014-01-22 1:34,1689.749878,-698.3094482,503.3206787,-265.8652649,459.2973633,1704.463867
2014-01-22 1:34,1689.737671,-698.3053589,503.3369751,-265.8816223,459.4073181,1704.40271
2014-01-22 1:34,1689.688843,-698.354248,503.3818359,-265.9429626,459.264801,1704.382324
2014-01-22 1:34,1689.688843,-698.2401733,503.2514343,-265.877533,459.1629639,1704.317139
2014-01-22 1:34,1689.640137,-698.2442627,503.1740417,-265.8816223,459.358429,1704.415039
2014-01-22 1:34,1689.717285,-698.3704834,503.141449,-265.9266052,459.3462219,1704.40271
2014-01-22 1:34,1689.668579,-698.4234619,503.2840271,-265.877533,459.3747253,1704.484253
2014-01-22 1:34,1689.656494,-698.3583374,503.3044128,-265.877533,459.358429,1704.463867
2014-01-22 1:34,1689.831055,-698.3257446,503.2677307,-265.83255,459.3788147,1704.44751
2014-01-22 1:34,1689.672607,-698.3379517,503.2840271,-265.8611755,459.411377,1704.500488
2014-01-22 1:34,1689.7052,-698.3583374,503.300354,-265.8611755,459.4073181,1704.484253
2014-01-22 1:34,1689.668579,-698.2727661,503.2392273,-265.8979797,459.358429,1704.44751
2014-01-22 1:34,1689.717285,-698.1913452,503.2066345,-265.83255,459.3788147,1704.365967
2014-01-22 1:34,1689.688843,-698.2930908,503.2555237,-265.9102478,459.4073181,1704.415039
2014-01-22 1:34,1689.717285,-698.3583374,503.3655396,-265.9102478,459.4073181,1704.435303
2014-01-22 1:34,1689.623901,-698.3868408,503.3369751,-265.83255,459.3258667,1704.40271
2014-01-22 1:34,1689.558838,-698.3216553,503.2881165,-265.8284607,459.2810669,1704.435303
2014-01-22 1:34,1689.737671,-698.2890625,503.3492432,-265.83255,459.3747253,1704.415039
2014-01-22 1:34,1689.765991,-698.3257446,503.3166504,-265.8816223,459.3095703,1704.304932
2014-01-22 1:34,1689.684814,-698.34198,503.3166504,-265.9593201,459.3095703,1704.386475
2014-01-22 1:34,1689.721313,-698.1791382,503.2188416,-265.877533,459.3136597,1704.451538
2014-01-22 1:34,1689.765991,-698.1954346,503.2677307,-265.7998352,459.3910217,1704.463867
2014-01-22 1:34,1689.684814,-698.2442627,503.2229309,-265.8611755,459.4561768,1704.467896
2014-01-22 1:34,1689.668579,-698.3053589,503.1251221,-265.8284607,459.4276733,1704.349854
2014-01-22 1:34,1689.721313,-698.354248,503.2555237,-265.8611755,459.3788147,1704.365967
2014-01-22 1:34,1689.688843,-698.3745728,503.2718201,-265.8284607,459.3136597,1704.386475
2014-01-22 1:34,1689.717285,-698.34198,503.3044128,-265.9266052,459.358429,1704.435303
2014-01-22 1:34,1689.818848,-698.223938,503.2025452,-265.8816223,459.358429,1704.451538
2014-01-22 1:34,1689.786377,-698.2116699,503.2840271,-265.9306946,459.358429,1704.533081
2014-01-22 1:34,1689.765991,-698.3745728,503.2718201,-265.9593201,459.3421631,1704.435303
2014-01-22 1:34,1689.80249,-698.3094482,503.1088257,-265.8611755,459.2281189,1704.337524
2014-01-22 1:34,1689.571045,-698.4030762,503.2229309,-265.8121033,459.3462219,1704.365967
2014-01-22 1:34,1689.623901,-698.4030762,503.3369751,-265.7998352,459.3788147,1704.415039
2014-01-22 1:34,1689.77002,-698.3053589,503.2718201,-265.7671204,459.5213318,1704.415039
2014-01-22 1:34,1689.688843,-698.354248,503.2718201,-265.8161926,459.4276733,1704.480225
2014-01-22 1:34,1689.652344,-698.2890625,503.2025452,-265.8611755,459.4276733,1704.44751
2014-01-22 1:34,1689.688843,-698.2930908,503.2229309,-265.9593201,459.4236145,1704.435303
2014-01-22 1:34,1689.656494,-698.2565308,503.2514343,-265.8611755,459.3462219,1704.44751
2014-01-22 1:34,1689.717285,-698.3379517,503.3329468,-265.7998352,459.2607117,1704.382324
2014-01-22 1:34,1689.753784,-698.34198,503.3858948,-265.83255,459.3625183,1704.317139
2014-01-22 1:34,1689.814697,-698.3094482,503.3369751,-265.8938904,459.411377,1704.304932
2014-01-22 1:34,1689.765991,-698.3216553,503.2881165,-265.83255,459.5701904,1704.415039
2014-01-22 1:34,1689.753784,-698.4682617,503.2229309,-265.8652649,459.5864868,1704.463867
2014-01-22 1:34,1689.640137,-698.4723511,503.2351379,-265.9306946,459.3625183,1704.386475
2014-01-22 1:34,1689.765991,-698.354248,503.2718201,-265.9306946,459.3421631,1704.418945
2014-01-22 1:34,1689.591431,-698.3868408,503.2188416,-265.9429626,459.4236145,1704.533081
2014-01-22 1:34,1689.721313,-698.2116699,503.2718201,-265.9102478,459.358429,1704.382324
2014-01-22 1:34,1689.80249,-698.223938,503.2351379,-265.8489075,459.3625183,1704.317139
2014-01-22 1:34,1689.765991,-698.3216553,503.3044128,-265.8489075,459.4724731,1704.463867
2014-01-22 1:34,1689.603638,-698.3583374,503.1373596,-265.8611755,459.4439697,1704.435303
2014-01-22 1:34,1689.587402,-698.3868408,503.141449,-265.947052,459.3625183,1704.44751
2014-01-22 1:34,1689.7052,-698.2890625,503.1577454,-265.8816223,459.5417175,1704.451538
2014-01-22 1:34,1689.558838,-698.2930908,503.1740417,-265.8938904,459.4236145,1704.451538
2014-01-22 1:34,1689.607544,-698.3583374,503.1577454,-265.9306946,459.2810669,1704.467896
2014-01-22 1:34,1689.652344,-698.34198,503.1251221,-265.9306946,459.3095703,1704.435303
2014-01-22 1:34,1689.717285,-698.3583374,503.2229309,-265.9102478,459.3910217,1704.386475
2014-01-22 1:34,1689.688843,-698.4030762,503.2555237,-265.877533,459.3625183,1704.40271
2014-01-22 1:34,1689.721313,-698.4234619,503.141449,-265.8611755,459.3421631,1704.40271
2014-01-22 1:34,1689.587402,-698.3909302,503.1699524,-265.7793884,459.1996155,1704.349854
2014-01-22 1:34,1689.587402,-698.4234619,503.2718201,-265.8652649,459.3299561,1704.435303
2014-01-22 1:34,1689.737671,-698.3094482,503.2229309,-265.9143372,459.4073181,1704.549438
2014-01-22 1:34,1689.737671,-698.3379517,503.2229309,-265.9102478,459.3299561,1704.467896
2014-01-22 1:34,1689.786377,-698.3909302,503.1088257,-265.8448181,459.3299561,1704.40271
2014-01-22 1:34,1689.717285,-698.4560547,503.1577454,-265.7998352,459.4073181,1704.496338
2014-01-22 1:34,1689.77002,-698.354248,503.3369751,-265.8816223,459.3462219,1704.431152
2014-01-22 1:34,1689.733521,-698.3583374,503.2066345,-265.7998352,459.358429,1704.415039
2014-01-22 1:34,1689.786377,-698.3704834,503.1862488,-265.8611755,459.4561768,1704.435303
2014-01-22 1:34,1689.656494,-698.3583374,503.1862488,-265.8938904,459.4398804,1704.398682
2014-01-22 1:34,1689.672607,-698.354248,503.2229309,-265.9102478,459.3951111,1704.415039
2014-01-22 1:34,1689.526367,-698.354248,503.2025452,-265.9634094,459.358429,1704.382324
2014-01-22 1:34,1689.526367,-698.3094482,503.2392273,-265.9143372,459.4561768,1704.451538
2014-01-22 1:34,1689.652344,-698.2442627,503.2718201,-265.8816223,459.3910217,1704.415039
2014-01-22 1:34,1689.640137,-698.2930908,503.3655396,-265.9593201,459.2932739,1704.484253
2014-01-22 1:34,1689.510254,-698.3868408,503.2840271,-265.9306946,459.264801,1704.480225
2014-01-22 1:34,1689.522339,-698.2727661,503.2881165,-265.8448181,459.3788147,1704.418945
2014-01-22 1:34,1689.684814,-698.2890625,503.3044128,-265.8979797,459.4928284,1704.333496
2014-01-22 1:34,1689.571045,-698.2930908,503.2188416,-265.9593201,459.3788147,1704.415039
2014-01-22 1:34,1689.587402,-698.3379517,503.1903381,-265.8816223,459.3747253,1704.516724
2014-01-22 1:34,1689.700928,-698.3868408,503.1903381,-265.8448181,459.3747253,1704.512695
2014-01-22 1:34,1689.640137,-698.3216553,503.2881165,-265.9102478,459.3258667,1704.480225
2014-01-22 1:34,1689.554932,-698.3868408,503.2351379,-265.9102478,459.4276733,1704.337524
2014-01-22 1:34,1689.636108,-698.3868408,503.2514343,-265.83255,459.4073181,1704.35376
2014-01-22 1:34,1689.575195,-698.3868408,503.2188416,-265.9306946,459.4236145,1704.35376
2014-01-22 1:34,1689.656494,-698.3909302,503.153656,-266.0574646,459.3299561,1704.288574
